Datum,Depth_[m],Temp_[C]
20.05.15,5,15.4
20.05.15,10,10.5
20.05.15,20,7.1
20.05.15,30,6.3
20.05.15,40,6.1
12.08.15,0,26.7
12.08.15,5,23.6
12.08.15,10,17.6
12.08.15,20,7.6
12.08.15,30,6.6
12.08.15,40,6.3
15.10.15,0,13.9
15.10.15,5,13.9
15.10.15,10,13.9
15.10.15,20,7.9
15.10.15,30,6.9
15.10.15,40,6.4
17.02.16,0,5.5
17.02.16,5,5.4
17.02.16,10,5.4
17.02.16,20,5.4
17.02.16,30,5.4
17.02.16,40,5.4
11.05.16,0,16.6
11.05.16,5,11.3
11.05.16,10,9.8
11.05.16,20,7
11.05.16,30,6.3
11.05.16,40,6
10.08.16,0,23.7
10.08.16,5,22.1
10.08.16,10,13.8
10.08.16,20,7.7
10.08.16,30,6.8
10.08.16,40,6.4
13.10.16,0,13.7
13.10.16,5,13.7
13.10.16,10,13.7
13.10.16,20,7.8
13.10.16,30,6.9
13.10.16,40,6.4
16.02.17,0,3.3
16.02.17,5,3.2
16.02.17,10,3.2
16.02.17,20,3.2
16.02.17,30,3.2
16.02.17,40,3.2
18.05.17,0,16.8
18.05.17,5,12.3
18.05.17,10,11.2
18.05.17,20,7.3
18.05.17,30,5.5
18.05.17,40,4.9
16.08.17,0,23.8
16.08.17,5,22
16.08.17,10,18.3
16.08.17,20,7.1
16.08.17,30,6
16.08.17,40,5.4
12.10.17,0,16.1
12.10.17,5,16.1
12.10.17,10,16.1
12.10.17,20,7.2
12.10.17,30,6.1
12.10.17,40,5.6
08.02.18,0,5
08.02.18,5,5
08.02.18,10,5
08.02.18,20,5
08.02.18,30,5
08.02.18,40,5
16.05.18,0,14.7
16.05.18,5,14.3
16.05.18,10,10.7
16.05.18,20,6.4
16.05.18,30,5.6
16.05.18,40,5
16.08.18,0,24.4
16.08.18,5,24.3
16.08.18,10,15.9
16.08.18,20,6.8
16.08.18,30,5.8
16.08.18,40,5.3
11.10.18,0,16.7
11.10.18,5,16.7
11.10.18,10,16.6
11.10.18,20,6.9
11.10.18,30,6
11.10.18,40,5.4
14.02.19,0,4.3
14.02.19,5,4.3
14.02.19,10,4.3
14.02.19,20,4.3
14.02.19,30,4.3
14.02.19,40,4.4
16.05.19,0,10
16.05.19,5,9.9
16.05.19,10,9.7
16.05.19,20,9.3
16.05.19,30,8.5
16.05.19,40,7.7
14.08.19,0,24
14.08.19,5,23.3
14.08.19,10,14.4
14.08.19,20,9.1
14.08.19,30,8.6
14.08.19,40,8
10.10.19,0,15.8
10.10.19,5,15.8
10.10.19,10,15.8
10.10.19,20,9.4
10.10.19,30,8.6
10.10.19,40,8.1
12.02.20,0,5.9
12.02.20,5,5.9
12.02.20,10,5.9
12.02.20,20,5.9
12.02.20,30,5.8
12.02.20,40,5.8
