Datum,Depth_[m],Temp_[C]
15.11.89,30,7.7
15.11.89,40,7.6
21.12.89,0,7.0
21.12.89,5,7.0
21.12.89,10,7.0
21.12.89,20,7.0
21.12.89,30,7.0
21.12.89,40,6.0
10.01.90,0,4.2
10.01.90,5,4.1
10.01.90,10,4.2
10.01.90,20,4.4
10.01.90,30,4.2
10.01.90,40,4.2
21.02.90,0,6.2
21.02.90,5,4.7
21.02.90,10,4.8
21.02.90,20,4.6
21.02.90,30,4.7
21.02.90,40,4.9
14.03.90,0,7.8
14.03.90,5,5.6
14.03.90,10,5.5
14.03.90,20,5.3
14.03.90,30,5.2
14.03.90,40,5.4
25.04.90,0,9.3
25.04.90,5,8.9
25.04.90,10,8.2
25.04.90,20,7.7
25.04.90,30,7.4
25.04.90,40,7.1
30.05.90,0,17.2
30.05.90,5,15.5
30.05.90,10,11.7
30.05.90,20,8.8
30.05.90,30,8.4
30.05.90,40,9.0
13.06.90,0,15.4
13.06.90,5,15.0
13.06.90,10,10.6
13.06.90,20,8.3
13.06.90,30,7.7
13.06.90,40,8.0
11.07.90,0,18.6
11.07.90,5,17.7
11.07.90,10,13.5
11.07.90,20,9.4
11.07.90,30,8.4
11.07.90,40,9.4
22.08.90,0,21.0
22.08.90,5,21.0
22.08.90,10,17.5
22.08.90,20,10.0
22.08.90,30,9.0
22.08.90,40,9.0
17.09.90,0,17.8
17.09.90,5,17.2
17.09.90,10,15.1
17.09.90,20,8.6
17.09.90,30,8.4
17.09.90,40,8.6
31.10.90,0,12.6
31.10.90,5,12.0
31.10.90,10,11.6
31.10.90,20,8.7
31.10.90,30,7.5
31.10.90,40,8.2
14.11.90,0,9.8
14.11.90,5,9.7
14.11.90,10,9.8
14.11.90,20,9.0
14.11.90,30,7.7
14.11.90,40,7.4
16.01.91,0,5.6
16.01.91,5,4.6
16.01.91,10,4.7
16.01.91,20,4.9
16.01.91,30,4.7
16.01.91,40,4.8
13.02.91,0,3.4
13.02.91,5,1.8
13.02.91,10,1.9
13.02.91,20,2.2
13.02.91,30,2.1
13.02.91,40,2.3
20.03.91,0,6.0
20.03.91,5,4.7
20.03.91,10,5.2
20.03.91,20,5.6
20.03.91,30,4.5
20.03.91,40,4.1
17.04.91,0,7.3
17.04.91,5,6.9
17.04.91,10,6.8
17.04.91,20,6.7
17.04.91,30,5.0
17.04.91,40,5.0
22.05.91,0,14.8
22.05.91,5,11.2
22.05.91,10,10.7
22.05.91,20,8.5
22.05.91,30,7.5
22.05.91,40,8.2
12.06.91,0,17.2
12.06.91,5,15.7
12.06.91,10,12.3
12.06.91,20,9.6
12.06.91,30,8.9
12.06.91,40,10.0
22.07.91,0,23.4
22.07.91,5,22.2
22.07.91,10,14.1
22.07.91,20,10.0
22.07.91,30,9.2
22.07.91,40,10.6
21.08.91,0,23.1
21.08.91,5,22.0
21.08.91,10,15.3
21.08.91,20,10.0
21.08.91,30,8.8
21.08.91,40,9.6
16.09.91,0,19.8
16.09.91,5,19.1
16.09.91,10,15.9
16.09.91,20,9.1
16.09.91,30,8.9
16.09.91,40,8.5
06.11.91,0,11.0
06.11.91,5,10.8
06.11.91,10,10.7
06.11.91,20,9.4
06.11.91,30,7.7
06.11.91,40,7.5
11.12.91,0,6.7
11.12.91,5,6.4
11.12.91,10,6.2
11.12.91,20,6.2
11.12.91,30,6.2
11.12.91,40,6.7
15.01.92,0,4.1
15.01.92,5,3.8
15.01.92,10,3.9
15.01.92,20,3.9
15.01.92,30,4.0
15.01.92,40,4.0
19.02.92,0,3.0
19.02.92,5,3.0
19.02.92,10,3.0
19.02.92,20,3.0
19.02.92,30,3.0
19.02.92,40,3.5
11.03.92,0,4.9
11.03.92,5,4.4
11.03.92,10,4.5
11.03.92,20,4.2
11.03.92,30,4.9
11.03.92,40,4.7
08.04.92,0,6.4
08.04.92,5,6.0
08.04.92,10,5.9
08.04.92,20,5.7
08.04.92,30,5.7
08.04.92,40,6.1
13.05.92,0,15.2
13.05.92,5,11.4
13.05.92,10,10.8
13.05.92,20,8.1
13.05.92,30,7.4
13.05.92,40,7.3
24.06.92,0,19.8
24.06.92,5,18.5
24.06.92,10,15.5
24.06.92,20,11.4
24.06.92,30,10.4
24.06.92,40,10.0
15.07.92,0,21.0
15.07.92,5,20.5
15.07.92,10,16.0
15.07.92,20,10.0
15.07.92,30,9.0
15.07.92,40,9.0
12.08.92,0,24.4
12.08.92,5,24.0
12.08.92,10,18.6
12.08.92,20,10.4
12.08.92,30,10.4
12.08.92,40,10.5
16.09.92,0,19.1
16.09.92,5,18.3
16.09.92,10,17.2
16.09.92,20,9.5
16.09.92,30,9.2
16.09.92,40,9.4
14.10.92,0,14.4
14.10.92,5,14.4
14.10.92,10,13.7
14.10.92,20,9.0
14.10.92,30,8.2
14.10.92,40,8.2
11.11.92,0,9.9
11.11.92,5,9.8
11.11.92,10,9.7
11.11.92,20,9.6
11.11.92,30,8.5
11.11.92,40,7.7
02.12.92,0,8.0
02.12.92,5,7.9
02.12.92,10,7.9
02.12.92,20,8.0
02.12.92,30,8.0
02.12.92,40,7.8
13.01.93,0,6.6
13.01.93,5,5.9
13.01.93,10,5.8
13.01.93,20,5.9
13.01.93,30,5.8
13.01.93,40,5.7
17.03.93,0,5.4
17.03.93,5,4.5
17.03.93,10,4.6
17.03.93,20,4.5
17.03.93,30,4.4
17.03.93,40,4.5
20.04.93,0,13.0
20.04.93,5,8.6
20.04.93,10,8.1
20.04.93,20,7.0
20.04.93,30,6.8
20.04.93,40,7.4
12.05.93,0,16.0
12.05.93,5,13.2
12.05.93,10,7.9
12.05.93,20,6.8
12.05.93,30,6.8
12.05.93,40,7.6
08.06.93,0,22.5
08.06.93,5,18.0
08.06.93,10,13.0
08.06.93,20,10.0
08.06.93,30,8.4
08.06.93,40,10.0
28.07.93,0,20.8
28.07.93,5,20.1
28.07.93,10,16.7
28.07.93,20,10.4
28.07.93,30,10.0
28.07.93,40,11.0
25.08.93,0,20.4
25.08.93,5,19.9
25.08.93,10,16.0
25.08.93,20,8.8
25.08.93,30,8.0
25.08.93,40,8.9
15.09.93,0,16.8
15.09.93,5,16.6
15.09.93,10,16.1
15.09.93,20,9.3
15.09.93,30,8.3
15.09.93,40,8.4
11.10.93,0,14.0
11.10.93,5,14.0
11.10.93,10,13.0
11.10.93,20,7.0
11.10.93,30,6.0
11.10.93,40,6.0
10.11.93,0,10.4
10.11.93,5,9.6
10.11.93,10,9.8
10.11.93,20,8.9
10.11.93,30,8.4
10.11.93,40,6.9
01.12.93,0,6.6
01.12.93,5,5.9
01.12.93,10,5.8
01.12.93,20,5.9
01.12.93,30,5.8
01.12.93,40,5.7
12.01.94,0,6.2
12.01.94,5,5.4
12.01.94,10,5.7
12.01.94,20,5.4
12.01.94,30,5.4
12.01.94,40,6.9
02.03.94,0,5.1
