Time [d] (1.col)    z [m] (1.row)    Absorption [m-1] (rest)
1
-1         0.0
    1.0000 0.642
   14.0000 0.642
   45.0000 0.475
   73.0000 0.541
  104.0000 0.609
  134.0000 0.594
  165.0000 0.570
  195.0000 0.751
  226.0000 0.890
  257.0000 0.614
  287.0000 0.441
  318.0000 0.381
  348.0000 0.414
  379.0000 0.642
  410.0000 0.475
  438.0000 0.541
  469.0000 0.609
  499.0000 0.594
  530.0000 0.570
  560.0000 0.751
  591.0000 0.890
  622.0000 0.614
  652.0000 0.441
  683.0000 0.381
  713.0000 0.414
  744.0000 0.642
  775.0000 0.475
  803.0000 0.541
  834.0000 0.609
  864.0000 0.594
  895.0000 0.570
  925.0000 0.751
  956.0000 0.890
  987.0000 0.614
 1017.0000 0.441
 1048.0000 0.381
 1078.0000 0.414
 1109.0000 0.642
 1140.0000 0.475
 1169.0000 0.541
 1200.0000 0.609
 1230.0000 0.594
 1261.0000 0.570
 1291.0000 0.751
 1322.0000 0.890
 1353.0000 0.614
 1383.0000 0.441
 1414.0000 0.381
 1444.0000 0.414
 1475.0000 0.642
 1506.0000 0.475
 1534.0000 0.541
 1565.0000 0.609
 1595.0000 0.594
 1626.0000 0.570
 1656.0000 0.751
 1687.0000 0.890
 1718.0000 0.614
 1748.0000 0.441
 1779.0000 0.381
 1809.0000 0.414
 1840.0000 0.642
 1871.0000 0.475
 1899.0000 0.541
 1930.0000 0.609
 1960.0000 0.594
 1991.0000 0.570
 2021.0000 0.751
 2052.0000 0.890
 2083.0000 0.614
 2113.0000 0.441
 2144.0000 0.381
 2174.0000 0.414
 2205.0000 0.642
 2236.0000 0.475
 2264.0000 0.541
 2295.0000 0.609
 2325.0000 0.594
 2356.0000 0.570
 2386.0000 0.751
 2417.0000 0.890
 2448.0000 0.614
 2478.0000 0.441
 2509.0000 0.381
 2539.0000 0.414
 2570.0000 0.642
 2601.0000 0.475
 2630.0000 0.541
 2661.0000 0.609
 2691.0000 0.594
 2722.0000 0.570
 2752.0000 0.751
 2783.0000 0.890
 2814.0000 0.614
 2844.0000 0.441
 2875.0000 0.381
 2905.0000 0.414
 2936.0000 0.642
 2967.0000 0.475
 2995.0000 0.541
 3026.0000 0.609
 3056.0000 0.594
 3087.0000 0.570
 3117.0000 0.751
 3148.0000 0.890
 3179.0000 0.614
 3209.0000 0.441
 3240.0000 0.381
 3270.0000 0.414
 3301.0000 0.642
 3332.0000 0.475
 3360.0000 0.541
 3391.0000 0.609
 3421.0000 0.594
 3452.0000 0.570
 3482.0000 0.751
 3513.0000 0.890
 3544.0000 0.614
 3574.0000 0.441
 3605.0000 0.381
 3635.0000 0.414
 3666.0000 0.642
 3697.0000 0.475
 3725.0000 0.541
 3756.0000 0.609
 3786.0000 0.594
 3817.0000 0.570
 3847.0000 0.751
 3878.0000 0.890
 3909.0000 0.614
 3939.0000 0.441
 3970.0000 0.381
 4000.0000 0.414
 4031.0000 0.642
 4062.0000 0.475
 4091.0000 0.541
 4122.0000 0.609
 4152.0000 0.594
 4183.0000 0.570
 4213.0000 0.751
 4244.0000 0.890
 4275.0000 0.614
 4305.0000 0.441
 4336.0000 0.381
 4366.0000 0.414
 4397.0000 0.642
 4428.0000 0.475
 4456.0000 0.541
 4487.0000 0.609
 4517.0000 0.594
 4548.0000 0.570
 4578.0000 0.751
 4609.0000 0.890
 4640.0000 0.614
 4670.0000 0.441
 4701.0000 0.381
 4731.0000 0.414
 4762.0000 0.642
 4793.0000 0.475
 4821.0000 0.541
 4852.0000 0.609
 4882.0000 0.594
 4913.0000 0.570
 4943.0000 0.751
 4974.0000 0.890
 5005.0000 0.614
 5035.0000 0.441
 5066.0000 0.381
 5096.0000 0.414
 5127.0000 0.642
 5158.0000 0.475
 5186.0000 0.541
 5217.0000 0.609
 5247.0000 0.594
 5278.0000 0.570
 5308.0000 0.751
 5339.0000 0.890
 5370.0000 0.614
 5400.0000 0.441
 5431.0000 0.381
 5461.0000 0.414
 5492.0000 0.642
 5523.0000 0.475
 5552.0000 0.541
 5583.0000 0.609
